#{"t_start": 1760091914.9956167, "env_id": "None"}
r,l,t
-3642.784,4702,26.161706
-722.35504,5000,26.94383
-2980.4312,5000,26.943931
-283.70377,5000,26.943963
-538.3095,580,28.405454
-2209.615,5000,39.570053
-2665.1892,5000,40.488333
-790.0527,5000,40.488442
-1001.6205,5000,41.953377
-583.0371,2868,48.257425
-1979.4342,3089,50.308028
-1961.0007,5000,52.979621
-722.9805,5000,53.898468
-692.63464,2936,56.745235
-1111.9232,2398,57.573575
-429.41058,1825,58.807168
-802.6137,1778,59.484085
-224.43428,1847,63.107452
-1123.7303,2244,66.78089
-628.0057,2457,70.562898
-1307.5864,5000,72.040544
-1365.0022,5000,74.38165
-493.3065,5000,84.501762
-412.79056,5000,88.800856
-2436.9155,5000,90.200887
-1074.6871,4541,91.006175
-1968.3495,5000,99.173491
-1749.6365,5000,102.837644
-505.88052,5000,104.301283
-2445.1655,5000,105.125043
-281.68686,5000,114.470742
-705.55914,5000,118.739602
-1652.656,5000,119.694514
-1554.7988,5000,120.486856
-2679.2625,5000,131.796183
-2825.7737,5000,135.967441
-1671.5187,5000,137.163856
-1364.8362,5000,137.924097
-345.29047,3902,142.871065
-1111.6366,2345,143.48295
-643.36743,2805,143.539867
-186.96523,961,146.487859
-737.7798,1238,147.287244
-1103.9437,2912,151.456181
-2455.9707,5000,151.903132
-2035.4259,5000,161.576906
-2075.4685,5000,162.804509
-454.79517,5000,168.931248
-3929.8572,5000,170.566343
-263.18805,2157,178.479251
-763.9773,3659,178.649984
-1949.2103,2895,181.205946
-927.0782,5000,181.753312
-224.09085,824,183.759757
-264.4139,1887,184.290703
-90.8458,1061,184.977563
-212.48843,520,185.814574
-376.143,974,186.60644
-107.807304,245,187.743182
-426.15985,779,188.66342
-1398.7849,5000,194.896063
-1459.0277,5000,201.98303
-516.3276,5000,204.352808
-3685.8474,5000,205.030639
-4228.3687,5000,210.150298
-841.7749,5000,216.880696
-2211.62,5000,219.310204
-1221.498,5000,220.083798
-251.55338,5000,225.608257
-862.7468,5000,233.047866
-1845.0452,5000,235.854962
-875.58844,5000,236.737354
-2039.9169,5000,242.246045
-4558.7905,5000,248.042667
-4459.124,5000,250.185148
-3509.0369,5000,250.876623
-1463.3805,5000,255.960957
-4457.556,5000,262.282585
-4742.429,5000,264.514074
-4626.079,5000,265.211591
-1585.1975,5000,270.320552
-232.62523,1607,276.032117
-1053.7172,5000,277.78318
-1444.6156,4599,280.062127
-3281.7725,5000,280.37263
-1426.9962,5000,291.372612
-1099.2383,5000,292.967603
-1012.80695,5000,294.809948
-597.3496,5000,295.456684
-95.61943,899,298.018331
-313.3602,1243,301.436455
-674.21515,5000,305.482789
-970.91187,5000,306.957488
-458.4485,2050,307.024849
-855.13684,5000,309.168819
-225.68286,5000,319.144899
-629.45074,5000,320.504592
-953.04315,5000,320.559925
-326.57526,5000,322.562282
-36.799194,755,324.561599
-628.29047,5000,332.52341
-574.77454,5000,334.038566
-315.30582,5000,334.099163
-322.35947,5000,338.026721
-369.18274,5000,346.254543
-490.3173,5000,347.753473
-266.1416,5000,347.799195
-399.7865,5000,351.497295
-564.6488,5000,359.366277
-419.88452,5000,360.844207
-733.6768,5000,360.894678
-64.54872,630,362.631898
-142.60475,5000,364.657634
-472.52924,5000,373.042391
-641.90466,5000,374.521755
-107.0198,5000,376.176172
-277.24557,5000,378.383391
-613.0251,5000,386.161777
-187.39616,5000,387.54225
-268.97092,5000,389.368394
-369.9673,5000,391.379491
-512.25415,5000,399.996594
-175.85915,5000,401.451262
-206.95744,5000,403.303804
-114.71115,5000,405.407488
-185.63933,5000,413.119938
-92.97012,5000,414.772176
-235.94743,5000,416.41564
-660.6158,5000,418.551864
-94.944336,5000,426.334541
-964.107,5000,427.746682
-84.56715,798,428.403082
-96.50433,5000,430.015025
-148.0324,5000,432.044334
-165.27815,5000,441.598998
-67.52022,5000,442.077443
-57.577415,5000,443.268466
-186.63712,5000,445.282998
-107.41648,5000,454.641393
-70.42437,5000,455.364259
-115.83288,5000,456.545064
-93.07051,5000,458.740286
-43.14108,5000,468.80606
-328.05884,5000,469.530524
-21.181633,5000,470.567585
-110.250725,5000,472.701906
-90.42276,5000,481.903899
-26.717505,5000,482.504634
-57.125313,651,483.677796
-68.46333,5000,483.687565
-585.9982,5000,485.660738
-1.4738349,5000,495.69139
-511.2843,5000,496.597506
-105.196106,5000,496.614142
1.8455268,5000,498.586462
-71.626236,5000,508.690106
165.08287,5000,509.802859
112.31263,5000,509.813573
