#{"t_start": 1770881564.9366617, "env_id": "None"}
r,l,t
-76.8707,177,1.25391
-79.30198,341,1.33748
-113.91928,374,1.351768
-195.828,392,1.360723
-59.65008,134,1.420432
-231.6454,634,1.466383
-229.55379,891,1.578187
-360.26974,895,1.580371
-234.57303,604,1.602472
-210.47722,345,1.6171
-184.70793,828,1.628365
-28.851114,180,1.679384
-160.73305,623,1.690155
-571.60223,797,1.699762
-420.27567,1174,1.701444
-120.716225,225,1.726461
-211.28226,387,1.750316
-193.25885,408,1.944602
-260.87494,913,2.000155
-396.16092,964,2.139474
-351.5993,1071,2.18737
-249.4887,608,2.209856
-6.6801524,9,2.213896
-651.9957,1366,2.233302
-395.0201,1220,2.244506
-100.76189,130,2.247263
-191.73775,1199,2.270443
-114.87098,654,2.284673
-55.53177,256,2.377621
-96.506836,497,2.381016
-129.36038,231,2.408428
-10.676918,26,2.420216
-86.43048,171,2.453792
-87.05468,232,2.482988
-349.31577,532,2.501882
-116.63549,524,2.528835
-217.88457,422,2.613913
-145.92543,274,2.632288
-142.44308,467,2.699046
-304.00406,671,2.758699
-216.4553,491,2.829528
-230.23633,752,2.860782
-181.18799,1527,2.914048
-140.23767,457,2.956689
-889.346,3119,3.10115
-49.88692,472,3.170971
-108.16434,203,3.267224
-552.17523,1452,3.286039
-840.917,2368,3.322724
-227.55661,626,3.393687
-99.675766,188,3.408919
-54.151302,88,3.448845
-279.9002,1256,3.493711
-941.37494,1829,3.527004
-32.45836,77,3.528418
-217.84279,627,3.571721
-45.36881,66,3.600555
-164.02261,522,3.628789
-21.580036,41,3.646214
-86.885635,301,3.659583
-197.70561,393,3.707572
-53.951393,263,3.725079
-330.90457,1028,3.742696
-1196.9214,1999,3.744594
-164.92018,749,3.793453
-139.45714,255,3.841342
-135.58221,363,3.908714
-273.6203,2437,3.975093
-409.88303,716,4.30428
-48.87223,164,4.338613
-117.79151,695,4.356987
-386.30713,1025,4.509583
-38.00854,253,4.571945
-50.964256,158,4.717018
-720.75525,1393,4.819262
-178.10114,344,4.826285
-422.11337,889,4.872283
-63.849777,138,4.952964
-158.83789,363,5.053485
-308.0351,944,5.177016
-280.31024,543,5.321763
-109.76866,196,5.510327
-97.47785,494,5.640416
-570.08997,1867,5.644214
-109.028915,743,5.648039
-909.3321,1554,5.817662
-48.249783,166,5.820231
-68.17557,317,5.824823
-1097.7874,2175,5.857777
-342.94156,1066,5.896892
-34.23378,54,5.959603
-52.219433,198,6.042253
-218.00931,383,6.281224
-37.70175,274,6.341859
-101.18763,549,6.425271
-276.47986,739,6.462874
-178.46393,581,6.475525
-240.69824,503,6.526505
-49.42712,88,6.634758
-86.941666,247,6.727582
-92.797615,270,6.799459
-299.22858,550,6.934524
-42.31301,263,6.95034
-100.54621,226,6.997109
-168.0654,507,7.068523
-124.97233,283,7.133446
-814.70703,2037,7.25419
-71.25336,186,7.472454
-123.58252,372,7.506226
-225.43214,477,7.556985
-371.00317,694,7.752978
-94.21251,743,8.01432
-115.721146,439,8.029122
-438.60046,1607,8.242805
-836.8007,2269,8.265957
-172.15521,668,8.344862
-49.488728,120,8.491558
-227.88449,377,8.69543
-93.74618,619,8.761581
-94.03517,237,8.772403
-45.027515,104,8.887526
-36.90719,164,9.085231
-1056.2875,1995,9.311247
-210.12679,1095,9.314658
-1082.4865,1560,9.325259
-586.41895,1399,9.418572
-554.6613,983,9.441821
-46.16388,95,9.531449
-79.43623,269,9.638206
-137.77377,486,9.663676
-55.488106,145,9.704822
-99.87968,454,9.865255
-24.923668,213,9.885121
-199.60709,462,9.98812
-9.697465,19,10.009208
-206.83583,256,10.171975
-114.57438,407,10.187413
-161.04936,510,10.26665
-866.0387,1271,10.285892
-1022.8904,1527,10.506759
-76.728386,191,10.510677
-369.95325,1069,10.582049
-202.79907,357,10.60548
-21.036285,43,10.659292
-109.80097,452,10.706124
-139.91159,296,10.941273
-18.765713,72,11.026418
-93.92974,477,11.080955
-175.75708,962,11.157715
-67.537834,247,11.318444
-57.04187,149,11.490265
-478.26627,727,11.522175
-116.610435,293,11.845959
-179.48015,384,11.983931
-807.3206,1868,12.107495
-103.38001,445,12.374103
-178.32147,370,12.425805
-790.09534,1160,12.463706
-38.87789,77,12.515997
-46.561825,124,12.608001
-383.6917,547,12.756332
-56.31354,186,12.821873
-70.244,499,12.959512
-77.171585,142,12.989905
-82.48753,290,13.094033
-1128.8887,2283,13.21859
-1854.1522,2712,13.478347
-61.713627,286,13.553118
-246.06909,946,13.623113
-65.986534,180,13.692029
-153.28969,720,13.806356
-127.58458,177,13.899031
-948.90735,2699,13.90099
-1308.5549,2413,14.010531
-320.94543,787,14.02424
-164.79663,339,14.031154
-64.28468,115,14.152115
-52.966484,119,14.176348
-6.1990914,5,14.183827
-75.59294,251,14.329198
-224.93173,427,14.415668
-158.66684,740,14.441546
-129.68066,312,14.550988
-239.48692,723,14.670931
-17.881638,50,14.730526
-269.5925,1496,14.762719
-175.44594,444,14.935832
-110.17226,577,15.003632
-22.585794,40,15.051675
-410.56033,1005,15.090546
-79.20089,250,15.343559
-308.6785,794,15.373605
-169.01862,1091,15.439885
-60.75518,293,15.43993
-15.225949,23,15.4652
-142.32216,816,15.509803
-41.369152,110,15.567442
-112.42151,249,15.757629
